FID,DZ11CD,DZ11NM
3330,S01009710,Anstruther Waid
3331,S01009987,Castlemilk - 02
3332,S01009760,Darnley East - 03
3333,S01009810,Cardonald North - 01
3334,S01009937,Pollokshaws - 05
3335,S01010011,Mount Florida - 01
3336,S01009711,Anstruther West
3337,S01009988,Castlemilk - 03
3338,S01009761,Darnley East - 04
3339,S01009811,Cardonald North - 02
3340,S01009938,Pollokshaws - 06
3341,S01010012,Mount Florida - 02
3342,S01009712,Kilrenny
3343,S01009989,Castlemilk - 04
3344,S01009762,Darnley East - 05
3345,S01009812,Cardonald North - 03
3346,S01009939,Carnwadric West - 01
3347,S01010013,Mount Florida - 03
3348,S01009713,Crail South and Fife Ness
3349,S01009990,Castlemilk - 05
3350,S01009763,Darnley East - 06
3351,S01009813,Cardonald North - 04
3352,S01009940,Carnwadric West - 02
3353,S01010014,Mount Florida - 04
3354,S01009714,Crail North
3355,S01009991,Castlemilk - 06
3356,S01009764,Darnley North - 01
3357,S01009814,Cardonald North - 05
3358,S01009941,Carnwadric West - 03
3359,S01010015,Mount Florida - 05
3360,S01009715,Boarhills and Kingsbarns
3361,S01009992,Castlemilk - 07
3362,S01009765,Darnley North - 02
3363,S01009815,Cardonald West and Central - 01
3364,S01010056,Parkhead East and Braidfauld North - 01
3365,S01009942,Carnwadric West - 04
3366,S01010016,Toryglen and Oatlands - 01
3367,S01009716,Kilrymont and Langlands
3368,S01009993,Kingspark South - 01
3369,S01009766,Darnley North - 03
3370,S01009816,Cardonald West and Central - 02
3371,S01009943,Carnwadric West - 05
3372,S01010057,Parkhead East and Braidfauld North - 02
3373,S01010017,Toryglen and Oatlands - 02
3374,S01009717,East Sands
3375,S01009718,Langlands West
3376,S01009719,Kilrymont East
3377,S01009720,Kilrymont West
3378,S01009721,St  Andrews Town Centre
3379,S01009722,Madras and St Leonards
3380,S01009723,St Andrews Abbey
3381,S01009724,Kinness Burn East
3382,S01009725,Kinness Burn
3383,S01009726,The Scores
3384,S01009727,Feddinch and The Grange
3385,S01009728,Hallow Hill South
3386,S01009729,Hallow Hill
3387,S01009730,Cairnsmill
3388,S01009731,Canongate
3389,S01009732,Kinness Burn West
3390,S01009733,Clayton and Clatto
3391,S01009734,Strathkinness and Craigton
3392,S01009735,Lawhead and Northbank
3393,S01009736,North Haugh
3394,S01009737,Leuchars West
3395,S01009738,Guardbridge
3396,S01009739,Leuchars North East and St Michaels
3397,S01009740,Leuchars North
3398,S01009741,Leuchars East
3399,S01009742,St Fort and Pickletillem
3400,S01009743,Gauldry and Balmerino
3401,S01009744,Balmullo North
3402,S01009745,Balmullo South
3403,S01009746,Kilmany Rathillet and Logie
3404,S01009747,Tayport North
3405,S01009748,Tayport West
3406,S01009749,Tayport Central
3407,S01009750,Tayport South
3408,S01009751,Tayport South East
3409,S01009752,Newport West
3410,S01009753,Newport Central
3411,S01009754,Newport East
3412,S01009755,Newport North East
3413,S01009817,Cardonald West and Central - 03
3414,S01010018,Toryglen and Oatlands - 03
3415,S01009818,Cardonald West and Central - 04
3416,S01009994,Kingspark South - 02
3417,S01010019,Toryglen and Oatlands - 04
3418,S01009819,Cardonald West and Central - 05
3419,S01009995,Kingspark South - 03
3420,S01010020,Toryglen and Oatlands - 05
3421,S01009820,Cardonald West and Central - 06
3422,S01009996,Kingspark South - 04
3423,S01010021,Toryglen and Oatlands - 06
3424,S01009821,Cardonald West and Central - 07
3425,S01009997,Kingspark South - 05
3426,S01010022,Toryglen and Oatlands - 07
3427,S01009822,Penilee - 01
3428,S01009998,Kingspark South - 06
3429,S01010023,Gorbals and Hutchesontown - 01
3430,S01009823,Penilee - 02
3431,S01009999,Kingspark North - 01
3432,S01010024,Gorbals and Hutchesontown - 02
3433,S01009824,Penilee - 03
3434,S01010000,Kingspark North - 02
3435,S01010025,Gorbals and Hutchesontown - 03
3436,S01009825,Penilee - 04
3437,S01010001,Kingspark North - 03
3438,S01010026,Gorbals and Hutchesontown - 04
3439,S01009826,Penilee - 05
3440,S01010002,Kingspark North - 04
3441,S01010027,Gorbals and Hutchesontown - 05
3442,S01009827,Penilee - 06
3443,S01010003,Kingspark North - 05
3444,S01010028,Gorbals and Hutchesontown - 06
3445,S01009828,Penilee - 07
3446,S01010004,Kingspark North - 06
3447,S01010029,Gorbals and Hutchesontown - 07
3448,S01009829,Hillington - 01
3449,S01010005,Cathcart - 01
3450,S01010030,Gorbals and Hutchesontown - 08
3451,S01009830,Hillington - 02
3452,S01010031,Laurieston and Tradeston - 01
3453,S01009831,Hillington - 03
3454,S01010032,Laurieston and Tradeston - 02
3455,S01009832,Hillington - 04
3456,S01010033,Laurieston and Tradeston - 03
3457,S01009833,Drumoyne and Shieldhall - 01
3458,S01010034,Laurieston and Tradeston - 04
3459,S01009834,Drumoyne and Shieldhall - 02
3460,S01010035,Laurieston and Tradeston - 05
3461,S01009835,Drumoyne and Shieldhall - 03
3462,S01009836,Drumoyne and Shieldhall - 04
3463,S01009837,Drumoyne and Shieldhall - 05
3464,S01009838,Drumoyne and Shieldhall - 06
3465,S01009839,Drumoyne and Shieldhall - 07
3466,S01009840,Drumoyne and Shieldhall - 08
3467,S01009841,Govan and Linthouse - 01
3468,S01009842,Govan and Linthouse - 02
3469,S01009843,Govan and Linthouse - 03
3470,S01009844,Govan and Linthouse - 04
3471,S01009845,Govan and Linthouse - 05
3472,S01009846,Govan and Linthouse - 06
3473,S01009847,Govan and Linthouse - 07
3474,S01009848,Craigton - 01
3475,S01009849,Craigton - 02
3476,S01009850,Craigton - 03
3477,S01009851,Craigton - 04
3478,S01009852,Mosspark - 01
3479,S01009853,Mosspark - 02
3480,S01009854,Mosspark - 03
3481,S01009855,Mosspark - 04
3482,S01009767,Darnley North - 04
3483,S01009944,Carnwadric East - 01
3484,S01010058,Parkhead East and Braidfauld North - 03
3485,S01010036,Laurieston and Tradeston - 06
3486,S01009945,Carnwadric East - 02
3487,S01009768,Darnley West - 01
3488,S01010059,Parkhead East and Braidfauld North - 04
3489,S01010037,Calton and Gallowgate - 01
3490,S01009946,Carnwadric East - 03
3491,S01009769,Darnley West - 02
3492,S01010060,Parkhead East and Braidfauld North - 05
3493,S01010038,Calton and Gallowgate - 02
3494,S01009947,Carnwadric East - 04
3495,S01009770,Darnley West - 03
3496,S01010061,Braidfauld - 01
3497,S01010039,Calton and Gallowgate - 03
3498,S01009948,Newlands - 01
3499,S01009771,Darnley West - 04
3500,S01010062,Braidfauld - 02
3501,S01010040,Calton and Gallowgate - 04
3502,S01009949,Newlands - 02
3503,S01009772,Darnley West - 05
3504,S01010063,Braidfauld - 03
3505,S01010041,Calton and Gallowgate - 05
3506,S01009950,Newlands - 03
3507,S01009773,Darnley West - 06
3508,S01010064,Braidfauld - 04
3509,S01010042,Bridgeton - 01
3510,S01009951,Newlands - 04
3511,S01009774,Darnley West - 07
3512,S01010065,Braidfauld - 05
3513,S01010043,Bridgeton - 02
3514,S01009952,Newlands - 05
3515,S01009775,Nitshill - 01
3516,S01010066,Braidfauld - 06
3517,S01010044,Bridgeton - 03
3518,S01009953,Newlands - 06
3519,S01009776,Nitshill - 02
3520,S01010067,Braidfauld - 07
3521,S01010045,Bridgeton - 04
3522,S01009954,Newlands - 07
3523,S01009777,Nitshill - 03
3524,S01010068,Braidfauld - 08
3525,S01010046,Dalmarnock - 01
3526,S01009955,Merrylee and Millbrae - 01
3527,S01009778,Nitshill - 04
3528,S01010069,Shettleston South - 01
3529,S01010047,Dalmarnock - 02
3530,S01009779,Nitshill - 05
3531,S01010070,Shettleston South - 02
3532,S01010048,Dalmarnock - 03
3533,S01009780,Nitshill - 06
3534,S01010071,Shettleston South - 03
3535,S01010049,Parkhead West and Barrowfield - 01
3536,S01009781,Nitshill - 07
3537,S01010072,Shettleston South - 04
3538,S01010050,Parkhead West and Barrowfield - 02
3539,S01009782,Nitshill - 08
3540,S01010073,Shettleston South - 05
3541,S01010051,Parkhead West and Barrowfield - 03
3542,S01009783,Nitshill - 09
3543,S01010074,Carmyle and Mount Vernon South - 01
3544,S01010052,Parkhead West and Barrowfield - 04
3545,S01009784,Crookston South - 01
3546,S01010075,Carmyle and Mount Vernon South - 02
3547,S01010053,Parkhead West and Barrowfield - 05
3548,S01009785,Crookston South - 02
3549,S01010076,Carmyle and Mount Vernon South - 03
3550,S01010054,Parkhead West and Barrowfield - 06
3551,S01010055,Parkhead West and Barrowfield - 07
3552,S01010077,Carmyle and Mount Vernon South - 04
3553,S01010078,Mount Vernon North and Sandyhills - 01
3554,S01009786,Crookston South - 03
3555,S01010079,Mount Vernon North and Sandyhills - 02
3556,S01009787,Crookston South - 04
3557,S01010080,Mount Vernon North and Sandyhills - 03
3558,S01009788,Crookston North - 01
3559,S01010081,Mount Vernon North and Sandyhills - 04
3560,S01009789,Crookston North - 02
3561,S01010082,Mount Vernon North and Sandyhills - 05
3562,S01009790,Crookston North - 03
3563,S01010083,Baillieston West - 01
3564,S01009791,Crookston North - 04
3565,S01010084,Baillieston West - 02
3566,S01009792,Pollok South and West - 01
3567,S01010085,Baillieston West - 03
3568,S01009793,Pollok South and West - 02
3569,S01010086,Baillieston West - 04
3570,S01009794,Pollok South and West - 03
3571,S01010087,Baillieston West - 05
3572,S01009795,Pollok South and West - 04
3573,S01010088,Baillieston East - 01
3574,S01009796,Pollok South and West - 05
3575,S01010089,Baillieston East - 02
3576,S01009797,Pollok South and West - 06
3577,S01010090,Baillieston East - 03
3578,S01009798,Pollok South and West - 07
3579,S01010091,Baillieston East - 04
3580,S01009799,Pollok North and East - 01
3581,S01010092,Baillieston East - 05
3582,S01009800,Pollok North and East - 02
3583,S01010093,Baillieston East - 06
3584,S01009801,Pollok North and East - 03
3585,S01010094,Garrowhill West - 01
3586,S01009802,Pollok North and East - 04
3587,S01010095,Garrowhill West - 02
3588,S01009803,Pollok North and East - 05
3589,S01010096,Garrowhill West - 03
3590,S01009804,Pollok North and East - 06
3591,S01010097,Garrowhill West - 04
3592,S01009805,Pollok North and East - 07
3593,S01010098,Garrowhill West - 05
3594,S01010099,Garrowhill West - 06
3595,S01010100,Garrowhill East and Swinton - 01
3596,S01010101,Garrowhill East and Swinton - 02
3597,S01010102,Garrowhill East and Swinton - 03
3598,S01010103,Garrowhill East and Swinton - 04
3599,S01010104,Garrowhill East and Swinton - 05
3600,S01010105,Easterhouse East - 01
3601,S01010206,Petershill - 04
3602,S01010207,Petershill - 05
3603,S01010208,Petershill - 06
3604,S01010209,Springburn - 01
3605,S01010210,Springburn - 02
3606,S01010211,Springburn - 03
3607,S01010212,Springburn - 04
3608,S01010213,Springburn - 05
3609,S01010214,Springburn East and Cowlairs - 01
3610,S01010215,Springburn East and Cowlairs - 02
3611,S01010216,Springburn East and Cowlairs - 03
3612,S01010217,Springburn East and Cowlairs - 04
3613,S01010218,Springburn East and Cowlairs - 05
3614,S01010219,Cowlairs and Port Dundas - 01
3615,S01010220,Cowlairs and Port Dundas - 02
3616,S01010221,Cowlairs and Port Dundas - 03
3617,S01010222,Cowlairs and Port Dundas - 04
3618,S01010223,Cowlairs and Port Dundas - 05
3619,S01010224,Cowlairs and Port Dundas - 06
3620,S01010225,Sighthill - 01
3621,S01010226,Sighthill - 02
3622,S01010227,Sighthill - 03
3623,S01010228,"Roystonhill, Blochairn, and Provanmill - 01"
3624,S01010229,"Roystonhill, Blochairn, and Provanmill - 02"
3625,S01010230,"Roystonhill, Blochairn, and Provanmill - 03"
3626,S01010231,"Roystonhill, Blochairn, and Provanmill - 04"
3627,S01010456,Knightswood Park West - 02
3628,S01010156,"Cranhill, Lightburn and Queenslie South - 01"
3629,S01010356,Maryhill West - 03
3630,S01010306,Firhill - 06
3631,S01010256,Gallowgate North and Bellgrove - 03
3632,S01010106,Easterhouse East - 02
3633,S01010232,"Roystonhill, Blochairn, and Provanmill - 05"
3634,S01010233,"Roystonhill, Blochairn, and Provanmill - 06"
3635,S01010234,Dennistoun North - 01
3636,S01010235,Dennistoun North - 02
3637,S01010236,Dennistoun North - 03
3638,S01010237,Dennistoun North - 04
3639,S01010238,Dennistoun North - 05
3640,S01010239,Alexandra Parade - 01
3641,S01010240,Alexandra Parade - 02
3642,S01010241,Alexandra Parade - 03
3643,S01010242,Carntyne West and Haghill - 01
3644,S01010243,Carntyne West and Haghill - 02
3645,S01010244,Carntyne West and Haghill - 03
3646,S01010245,Carntyne West and Haghill - 04
3647,S01010246,Carntyne West and Haghill - 05
3648,S01010247,Carntyne West and Haghill - 06
3649,S01010248,Dennistoun - 01
3650,S01010249,Dennistoun - 02
3651,S01010250,Dennistoun - 03
3652,S01010251,Dennistoun - 04
3653,S01010252,Dennistoun - 05
3654,S01010253,Dennistoun - 06
3655,S01010254,Gallowgate North and Bellgrove - 01
3656,S01010255,Gallowgate North and Bellgrove - 02
3657,S01010357,Maryhill West - 04
3658,S01010257,Gallowgate North and Bellgrove - 04
3659,S01010107,Easterhouse East - 03
3660,S01010358,Wyndford - 01
3661,S01010307,Firhill - 07
3662,S01010258,Gallowgate North and Bellgrove - 05
3663,S01010457,Knightswood Park West - 03
3664,S01010108,Easterhouse East - 04
3665,S01010157,"Cranhill, Lightburn and Queenslie South - 02"
3666,S01010359,Wyndford - 02
3667,S01010308,Firhill - 08
3668,S01010259,City Centre East - 01
3669,S01010458,Knightswood Park West - 04
3670,S01010109,Easterhouse East - 05
3671,S01010158,"Cranhill, Lightburn and Queenslie South - 03"
3672,S01010360,Wyndford - 03
3673,S01010309,Keppochhill - 01
3674,S01010260,City Centre East - 02
3675,S01010459,Knightswood Park West - 05
3676,S01010110,Central Easterhouse - 01
3677,S01010159,"Cranhill, Lightburn and Queenslie South - 04"
3678,S01010361,Wyndford - 04
3679,S01010310,Keppochhill - 02
3680,S01010261,City Centre East - 03
3681,S01010460,Knightswood Park East - 01
3682,S01010111,Central Easterhouse - 02
3683,S01010160,"Cranhill, Lightburn and Queenslie South - 05"
3684,S01010362,Wyndford - 05
3685,S01010311,Keppochhill - 03
3686,S01010262,City Centre East - 04
3687,S01010461,Knightswood Park East - 02
3688,S01010112,Central Easterhouse - 03
3689,S01010161,"Cranhill, Lightburn and Queenslie South - 06"
3690,S01010363,Kelvindale - 01
3691,S01010312,Keppochhill - 04
3692,S01010263,City Centre East - 05
3693,S01010462,Knightswood Park East - 03
3694,S01010113,"Garthamlock, Auchinlea and Gartloch - 01"
3695,S01010162,"Cranhill, Lightburn and Queenslie South - 07"
3696,S01010364,Kelvindale - 02
3697,S01010313,Keppochhill - 05
3698,S01010264,City Centre East - 06
3699,S01010463,Knightswood Park East - 04
3700,S01010114,"Garthamlock, Auchinlea and Gartloch - 02"
3701,S01010163,"Cranhill, Lightburn and Queenslie South - 08"
3702,S01010365,Kelvindale - 03
3703,S01010314,Keppochhill - 06
3704,S01010265,City Centre East - 07
3705,S01010464,Knightswood Park East - 05
3706,S01010115,"Garthamlock, Auchinlea and Gartloch - 03"
3707,S01010164,"Cranhill, Lightburn and Queenslie South - 09"
3708,S01010366,Kelvindale - 04
3709,S01010315,Ruchill - 01
3710,S01010266,City Centre West - 01
3711,S01010465,Anniesland East - 01
3712,S01010406,Dowanhill - 04
3713,S01010116,"Garthamlock, Auchinlea and Gartloch - 04"
3714,S01010117,"Garthamlock, Auchinlea and Gartloch - 05"
3715,S01010118,North Barlanark and Easterhouse South - 01
3716,S01010119,North Barlanark and Easterhouse South - 02
3717,S01010120,North Barlanark and Easterhouse South - 03
3718,S01010121,North Barlanark and Easterhouse South - 04
3719,S01010122,North Barlanark and Easterhouse South - 05
3720,S01010123,Barlanark - 01
3721,S01010124,Barlanark - 02
3722,S01010125,Barlanark - 03
3723,S01010126,Barlanark - 04
3724,S01010127,Barlanark - 05
3725,S01010128,Barlanark - 06
3726,S01010129,Barlanark - 07
3727,S01010130,Barlanark - 08
3728,S01010131,Greenfield - 01
3729,S01010132,Greenfield - 02
3730,S01010133,Greenfield - 03
3731,S01010134,Greenfield - 04
3732,S01010135,Greenfield - 05
3733,S01010136,Greenfield - 06
3734,S01010137,Shettleston North - 01
3735,S01010138,Shettleston North - 02
3736,S01010139,Shettleston North - 03
3737,S01010140,Shettleston North - 04
3738,S01010141,Shettleston North - 05
3739,S01010142,Tollcross - 01
3740,S01010143,Tollcross - 02
3741,S01010144,Tollcross - 03
3742,S01010145,Tollcross - 04
3743,S01010146,Tollcross - 05
3744,S01010147,Old Shettleston and Parkhead North - 01
3745,S01010148,Old Shettleston and Parkhead North - 02
3746,S01010149,Old Shettleston and Parkhead North - 03
3747,S01010150,Old Shettleston and Parkhead North - 04
3748,S01010151,Old Shettleston and Parkhead North - 05
3749,S01010152,Carntyne - 01
3750,S01010153,Carntyne - 02
3751,S01010154,Carntyne - 03
3752,S01010155,Carntyne - 04
3753,S01010316,Ruchill - 02
3754,S01010317,Ruchill - 03
3755,S01010318,Ruchill - 04
3756,S01010319,Ruchill - 05
3757,S01010320,Ruchill - 06
3758,S01010321,Ruchill - 07
3759,S01010322,Ruchill - 08
3760,S01010323,Possil Park - 01
3761,S01010324,Possil Park - 02
3762,S01010325,Possil Park - 03
3763,S01010407,Dowanhill - 05
3764,S01010326,Possil Park - 04
3765,S01010367,Kelvindale - 05
3766,S01010408,Kelvinside and Jordanhill - 01
3767,S01010327,Possil Park - 05
3768,S01010368,Kelvindale - 06
3769,S01010409,Kelvinside and Jordanhill - 02
3770,S01010328,Possil Park - 06
3771,S01010369,North Kelvin - 01
3772,S01010410,Kelvinside and Jordanhill - 03
3773,S01010267,City Centre West - 02
3774,S01010329,Possil Park - 07
3775,S01010370,North Kelvin - 02
3776,S01010411,Kelvinside and Jordanhill - 04
3777,S01010268,City Centre West - 03
3778,S01010330,Milton West - 01
3779,S01010371,North Kelvin - 03
3780,S01010412,Kelvinside and Jordanhill - 05
3781,S01010269,City Centre West - 04
3782,S01010331,Milton West - 02
3783,S01010372,North Kelvin - 04
3784,S01010413,Kelvinside and Jordanhill - 06
3785,S01010270,City Centre West - 05
3786,S01010332,Milton West - 03
3787,S01010373,North Kelvin - 05
3788,S01010414,Kelvinside and Jordanhill - 07
3789,S01010271,City Centre West - 06
3790,S01010333,Milton West - 04
3791,S01010374,Kelvingrove and University - 01
3792,S01010415,Broomhill - 01
3793,S01010272,City Centre South - 01
3794,S01010334,Milton West - 05
3795,S01010375,Kelvingrove and University - 02
3796,S01010416,Broomhill - 02
3797,S01010273,City Centre South - 02
3798,S01010335,Milton East - 01
3799,S01010376,Kelvingrove and University - 03
3800,S01010377,Kelvingrove and University - 04
3801,S01010378,Kelvingrove and University - 05
3802,S01010379,Kelvingrove and University - 06
3803,S01010380,Kelvingrove and University - 07
3804,S01010381,Hillhead - 01
3805,S01010382,Hillhead - 02
3806,S01010383,Hillhead - 03
3807,S01010384,Hillhead - 04
3808,S01010385,Hillhead - 05
3809,S01010386,Hillhead - 06
3810,S01010387,Hillhead - 07
3811,S01010388,Glasgow Harbour and Partick South - 01
3812,S01010389,Glasgow Harbour and Partick South - 02
3813,S01010390,Glasgow Harbour and Partick South - 03
3814,S01010391,Glasgow Harbour and Partick South - 04
3815,S01010392,Glasgow Harbour and Partick South - 05
3816,S01010393,Partick - 01
3817,S01010394,Partick - 02
3818,S01010395,Partick - 03
3819,S01010396,Partick - 04
3820,S01010397,Partickhill and Hyndland - 01
3821,S01010398,Partickhill and Hyndland - 02
3822,S01010399,Partickhill and Hyndland - 03
3823,S01010400,Partickhill and Hyndland - 04
3824,S01010401,Partickhill and Hyndland - 05
3825,S01010402,Partickhill and Hyndland - 06
3826,S01010403,Dowanhill - 01
3827,S01010404,Dowanhill - 02
3828,S01010405,Dowanhill - 03
3829,S01010466,Anniesland East - 02
3830,S01010165,Craigend and Ruchazie - 01
3831,S01010417,Broomhill - 03
3832,S01010467,Anniesland East - 03
3833,S01010166,Craigend and Ruchazie - 02
3834,S01010418,Broomhill - 04
3835,S01010468,Anniesland East - 04
3836,S01010167,Craigend and Ruchazie - 03
3837,S01010419,Broomhill - 05
3838,S01010469,Anniesland East - 05
3839,S01010168,Craigend and Ruchazie - 04
3840,S01010420,Victoria Park - 01
3841,S01010470,Anniesland West - 01
3842,S01010336,Milton East - 02
3843,S01010169,Craigend and Ruchazie - 05
3844,S01010274,City Centre South - 03
3845,S01010421,Victoria Park - 02
3846,S01010471,Anniesland West - 02
3847,S01010337,Milton East - 03
3848,S01010170,Craigend and Ruchazie - 06
3849,S01010275,City Centre South - 04
3850,S01010422,Victoria Park - 03
3851,S01010472,Anniesland West - 03
3852,S01010338,Milton East - 04
3853,S01010171,Craigend and Ruchazie - 07
3854,S01010276,Anderston - 01
3855,S01010423,Whiteinch - 01
3856,S01010473,Anniesland West - 04
3857,S01010339,Milton East - 05
3858,S01010172,Riddrie and Hogganfield - 01
3859,S01010277,Anderston - 02
3860,S01010424,Whiteinch - 02
3861,S01010474,Anniesland West - 05
3862,S01010340,Summerston Central and West - 01
3863,S01010173,Riddrie and Hogganfield - 02
3864,S01010278,Anderston - 03
3865,S01010425,Whiteinch - 03
3866,S01010475,Anniesland West - 06
3867,S01010341,Summerston Central and West - 02
3868,S01010174,Riddrie and Hogganfield - 03
3869,S01010279,Anderston - 04
3870,S01010426,Whiteinch - 04
3871,S01010476,Anniesland West - 07
3872,S01010342,Summerston Central and West - 03
3873,S01010175,Riddrie and Hogganfield - 04
3874,S01010280,Anderston - 05
3875,S01010427,Scotstoun North and East - 01
3876,S01010477,Anniesland West - 08
3877,S01010343,Summerston Central and West - 04
3878,S01010176,Riddrie and Hogganfield - 05
3879,S01010281,Anderston - 06
3880,S01010428,Scotstoun North and East - 02
3881,S01010478,Blairdardie East - 01
3882,S01010344,Summerston Central and West - 05
3883,S01010177,Riddrie and Hogganfield - 06
3884,S01010282,Finnieston and Kelvinhaugh - 01
3885,S01010429,Scotstoun North and East - 03
3886,S01010430,Scotstoun North and East - 04
3887,S01010431,Scotstoun North and East - 05
3888,S01010432,Scotstoun South and West - 01
3889,S01010433,Scotstoun South and West - 02
3890,S01010434,Scotstoun South and West - 03
3891,S01010435,Scotstoun South and West - 04
3892,S01010436,Scotstoun South and West - 05
3893,S01010437,Yoker South - 01
3894,S01010438,Yoker South - 02
3895,S01010439,Yoker South - 03
3896,S01010440,Yoker South - 04
3897,S01010441,Yoker South - 05
3898,S01010442,Yoker South - 06
3899,S01010443,Yoker North - 01
3900,S01010444,Yoker North - 02
3901,S01010445,Yoker North - 03
3902,S01010446,Yoker North - 04
3903,S01010447,Knightswood West - 01
3904,S01010448,Knightswood West - 02
3905,S01010449,Knightswood West - 03
3906,S01010450,Knightswood East - 01
3907,S01010451,Knightswood East - 02
3908,S01010452,Knightswood East - 03
3909,S01010453,Knightswood East - 04
3910,S01010454,Knightswood East - 05
3911,S01010455,Knightswood Park West - 01
3912,S01010345,Summerston Central and West - 06
3913,S01010479,Blairdardie East - 02
3914,S01010178,Riddrie and Hogganfield - 07
3915,S01010346,Summerston North - 01
3916,S01010283,Finnieston and Kelvinhaugh - 02
3917,S01010480,Blairdardie East - 03
3918,S01010179,Blackhill and Barmulloch East - 01
3919,S01010347,Summerston North - 02
3920,S01010284,Finnieston and Kelvinhaugh - 03
3921,S01010481,Blairdardie East - 04
3922,S01010180,Blackhill and Barmulloch East - 02
3923,S01010348,Summerston North - 03
3924,S01010285,Finnieston and Kelvinhaugh - 04
3925,S01010482,Blairdardie East - 05
3926,S01010181,Blackhill and Barmulloch East - 03
3927,S01010349,Summerston North - 04
3928,S01010286,Finnieston and Kelvinhaugh - 05
3929,S01010483,Blairdardie East - 06
3930,S01010182,Blackhill and Barmulloch East - 04
3931,S01010350,Maryhill East - 01
3932,S01010287,Finnieston and Kelvinhaugh - 06
3933,S01010484,Blairdardie East - 07
3934,S01010183,Blackhill and Barmulloch East - 05
3935,S01010351,Maryhill East - 02
3936,S01010288,Finnieston and Kelvinhaugh - 07
3937,S01010485,Blairdardie West - 01
3938,S01010184,Blackhill and Barmulloch East - 06
3939,S01010352,Maryhill East - 03
3940,S01010289,Woodlands - 01
3941,S01010486,Blairdardie West - 02
3942,S01010185,Blackhill and Barmulloch East - 07
3943,S01010353,Maryhill East - 04
3944,S01010290,Woodlands - 02
3945,S01010487,Blairdardie West - 03
3946,S01010186,Robroyston and Millerston - 01
3947,S01010354,Maryhill West - 01
3948,S01010291,Woodlands - 03
3949,S01010488,Drumchapel South - 01
3950,S01010187,Robroyston and Millerston - 02
3951,S01010355,Maryhill West - 02
3952,S01010292,Woodlands - 04
3953,S01010489,Drumchapel South - 02
3954,S01010188,Robroyston and Millerston - 03
3955,S01010293,Woodlands - 05
3956,S01010490,Drumchapel South - 03
3957,S01010189,Robroyston and Millerston - 04
3958,S01010294,Woodlands - 06
3959,S01010491,Drumchapel North - 01
3960,S01010190,Robroyston and Millerston - 05
3961,S01010295,Woodlands - 07
3962,S01010492,Drumchapel North - 02
3963,S01010191,Robroyston and Millerston - 06
3964,S01010296,Woodlands - 08
3965,S01010493,Drumchapel North - 03
3966,S01010494,Drumchapel North - 04
3967,S01010495,Drumchapel North - 05
3968,S01010496,Drumry East - 01
3969,S01010497,Drumry East - 02
3970,S01010498,Drumry East - 03
3971,S01010499,Drumry East - 04
3972,S01010500,Drumry West - 01
3973,S01010501,Drumry West - 02
3974,S01010502,Drumry West - 03
3975,S01010503,Drumry West - 04
3976,S01010504,Lochaber West - 01
3977,S01010505,Lochaber West - 02
3978,S01010297,Woodside - 01
3979,S01010298,Woodside - 02
3980,S01010299,Woodside - 03
3981,S01010300,Woodside - 04
3982,S01010301,Firhill - 01
3983,S01010302,Firhill - 02
3984,S01010303,Firhill - 03
3985,S01010304,Firhill - 04
3986,S01010305,Firhill - 05
3987,S01010192,Robroyston and Millerston - 07
3988,S01010193,Robroyston and Millerston - 08
3989,S01010194,Balornock - 01
3990,S01010195,Balornock - 02
3991,S01010196,Balornock - 03
3992,S01010197,Balornock - 04
3993,S01010198,Balornock - 05
3994,S01010199,Barmulloch - 01
3995,S01010200,Barmulloch - 02
3996,S01010201,Barmulloch - 03
3997,S01010202,Barmulloch - 04
3998,S01010203,Petershill - 01
3999,S01010204,Petershill - 02
4000,S01010205,Petershill - 03
4001,S01010706,Muir of Ord - 04
4002,S01010806,Thurso West - 04
4003,S01010807,Thurso West - 05
4004,S01010808,Thurso West - 06
4005,S01010809,Thurso West - 07
4006,S01010707,Conon - 01
4007,S01010810,Sutherland North and West - 01
4008,S01010811,Sutherland North and West - 02
4009,S01010812,Sutherland North and West - 03
4010,S01010708,Conon - 02
4011,S01010813,Sutherland North and West - 04
4012,S01010709,Conon - 03
4013,S01010814,Sutherland North and West - 05
4014,S01010710,Conon - 04
4015,S01010815,Sutherland North and West - 06
4016,S01010711,Conon - 05
4017,S01010816,Kilmacolm Central - 01
4018,S01010712,Dingwall - 01
4019,S01010817,Kilmacolm Central - 02
4020,S01010713,Dingwall - 02
4021,S01010818,Kilmacolm Central - 03
4022,S01010714,Dingwall - 03
4023,S01010819,"Kilmacolm, Quarriers, Greenock Upper East/Central - 01"
4024,S01010715,Dingwall - 04
4025,S01010820,"Kilmacolm, Quarriers, Greenock Upper East/Central - 02"
4026,S01010716,Dingwall - 05
4027,S01010821,"Kilmacolm, Quarriers, Greenock Upper East/Central - 03"
4028,S01010717,Dingwall - 06
4029,S01010822,"Kilmacolm, Quarriers, Greenock Upper East/Central - 04"
4030,S01010718,Dingwall - 07
4031,S01010823,"Kilmacolm, Quarriers, Greenock Upper East/Central - 05"
4032,S01010719,Black Isle South - 01
4033,S01010824,Inverkip and Wemyss Bay - 01
4034,S01010720,Black Isle South - 02
4035,S01010825,Inverkip and Wemyss Bay - 02
4036,S01010721,Black Isle South - 03
4037,S01010826,Inverkip and Wemyss Bay - 03
4038,S01010722,Black Isle South - 04
