Upper Tier Local Authority District code (2024),Upper Tier Local Authority District name (2024),IMD - Average rank ,IMD - Rank of average rank ,IMD - Average score ,IMD - Rank of average score ,IMD - Proportion of LSOAs in most deprived 10% nationally ,IMD - Rank of proportion of LSOAs in most deprived 10% nationally ,IMD25 - Extent ,IMD25 - Rank of extent ,IMD25 - Local concentration ,IMD25 - Rank of local concentration 
E06000001,Hartlepool,23075.98,23,37.58,5,0.4211,3,0.5259,7,33623.27,3
E06000002,Middlesbrough,23840.54,17,40.037,2,0.5,1,0.5657,3,33672.1,2
E06000003,Redcar and Cleveland,20592.69,46,30.336,29,0.25,21,0.3665,37,33529.27,5
E06000004,Stockton-on-Tees,17658.71,82,25.83,53,0.1935,34,0.3182,49,33332.64,12
E06000005,Darlington,18611.35,70,25.713,55,0.197,33,0.2814,53,33117.99,24
E06000006,Halton,20886.57,42,31.117,24,0.3125,12,0.429,23,33327.38,13
E06000007,Warrington,13072.02,121,16.835,115,0.0606,80,0.1561,84,30722.59,80
E06000008,Blackburn with Darwen,24567.65,9,36.899,8,0.3736,8,0.5702,2,33262.48,19
E06000009,Blackpool,26536.86,1,43.467,1,0.4043,6,0.5217,8,33748.14,1
E06000010,"Kingston upon Hull, City of",24324.73,11,37.206,6,0.4167,4,0.52,10,33340.11,11
E06000011,East Riding of Yorkshire,12648.72,125,15.755,121,0.061,79,0.0982,111,30438.49,86
E06000012,North East Lincolnshire,19754.27,58,30.213,31,0.271,17,0.3698,32,33609.96,4
E06000013,North Lincolnshire,18590.12,71,23.473,73,0.1165,58,0.2107,71,32214.66,50
E06000014,York,9512.5,145,11.814,142,0,131,0.0682,122,27798.04,123
E06000015,Derby,19898.13,57,28.155,41,0.1842,38,0.3611,38,33110.37,25
E06000016,Leicester,25204.55,4,34.449,12,0.2,32,0.495,14,32821.38,32
E06000017,Rutland,8552.38,149,9.851,150,0,131,0,149,15058.78,152
E06000018,Nottingham,24079.07,14,33.747,15,0.3073,14,0.5039,13,32737.58,34
E06000019,"Herefordshire, County of",16764.48,94,18.762,99,0.0085,119,0.0714,121,28211.49,116
E06000020,Telford and Wrekin,19007.58,66,24.423,62,0.1304,54,0.252,63,32109.44,53
E06000021,Stoke-on-Trent,23586.1,21,33.614,16,0.2883,15,0.4945,15,32889.75,30
E06000022,Bath and North East Somerset,10247.52,141,12.281,140,0.0254,104,0.0384,135,26239.75,135
E06000023,"Bristol, City of",17434.22,85,22.496,80,0.1119,60,0.213,70,32343.28,49
E06000024,North Somerset,12208.97,128,15.456,123,0.0652,76,0.0956,113,30756.72,79
E06000025,South Gloucestershire,10114.56,142,11.614,143,0,131,0.0102,144,22743.04,144
E06000026,Plymouth,18688.94,68,24.087,65,0.1159,59,0.257,58,31881.1,62
E06000027,Torbay,21271.67,39,26.917,49,0.1099,63,0.2552,59,32441.4,46
E06000030,Swindon,14096.54,113,17.554,110,0.0714,75,0.1328,95,31025.9,76
E06000031,Peterborough,21226.31,40,27.799,43,0.1322,53,0.3665,36,31817.21,65
E06000032,Luton,22777.92,25,29.548,37,0.136,50,0.3669,34,32093.18,54
E06000033,Southend-on-Sea,18080.37,77,24.027,66,0.1111,61,0.2645,55,32512.81,44
E06000034,Thurrock,17963.05,78,21.032,87,0.03,100,0.1391,91,29766.73,99
E06000035,Medway,19136.32,65,24.354,63,0.0888,69,0.2531,62,31939.66,60
E06000036,Bracknell Forest,8640.96,148,10.084,149,0,131,0,149,20769.77,148
E06000037,West Berkshire,9686.36,143,11.049,146,0,131,0.0092,147,20782.11,147
E06000038,Reading,16030.61,98,18.558,101,0,131,0.1039,106,28786.82,113
E06000039,Slough,20246.11,53,22.967,78,0,131,0.122,98,27966.25,119
E06000040,Windsor and Maidenhead,7338.72,152,8.881,152,0,131,0,149,20386.36,149
E06000041,Wokingham,4328.48,153,6.102,153,0,131,0.0042,148,16487.21,151
E06000042,Milton Keynes,15478.75,104,18.503,102,0.0482,87,0.1202,100,30250.04,88
E06000043,Brighton and Hove,16380.88,96,20.266,92,0.0788,73,0.1528,87,31382.57,71
E06000044,Portsmouth,20239.91,54,26.378,51,0.12,56,0.2533,61,32824.24,31
E06000045,Southampton,20194.24,56,25.611,56,0.1184,57,0.2391,65,32164.22,51
E06000046,Isle of Wight,20855.08,43,24.599,61,0.0337,95,0.2006,75,30108.81,91
E06000047,County Durham,21488.54,37,28.808,40,0.1697,44,0.3602,39,32636.06,38
E06000049,Cheshire East,11388.25,135,14.169,130,0.0246,106,0.0952,114,29412.3,103
E06000050,Cheshire West and Chester,13879.12,117,17.736,106,0.0856,71,0.1467,88,31296.82,73
E06000051,Shropshire,15695.07,103,17.604,109,0.0101,118,0.0533,128,27206.63,127
E06000052,Cornwall,19456.45,62,22.321,81,0.0327,96,0.1171,102,29429.71,102
